Model,TrainingSize,TrainTime,PredOnTrainTime,PredOnTestTime,TrainingF1Score,TestingF1Score
SVC,100.0,0.00200009346008,0.000999927520752,0.00100016593933,0.835443037975,0.802547770701
SVC,200.0,0.00499987602234,0.00300002098083,0.00200009346008,0.843137254902,0.81045751634
SVC,300.0,0.00800013542175,0.00499987602234,0.00200009346008,0.866379310345,0.805194805195
SGDClassifier,100.0,0.000999927520752,0.0,0.0,0.825,0.794871794872
SGDClassifier,200.0,0.000999927520752,0.000999927520752,0.0,0.822006472492,0.802631578947
SGDClassifier,300.0,0.000999927520752,0.0,0.0,0.820618556701,0.807692307692
KNeighborsClassifier,100.0,0.0,0.00200009346008,0.000999927520752,0.825174825175,0.758620689655
KNeighborsClassifier,200.0,0.000999927520752,0.00300002098083,0.00200009346008,0.809688581315,0.785714285714
KNeighborsClassifier,300.0,0.00200009346008,0.00699996948242,0.00300002098083,0.85393258427,0.813793103448
GaussianNB,100.0,0.0019998550415,0.0,0.0,0.77519379845,0.645669291339
GaussianNB,200.0,0.000999927520752,0.00100016593933,0.0,0.805970149254,0.721804511278
GaussianNB,300.0,0.000999927520752,0.00100016593933,0.0,0.813397129187,0.776119402985
RandomForestClassifier,100.0,0.0249998569489,0.000999927520752,0.00100016593933,0.992481203008,0.720588235294
RandomForestClassifier,200.0,0.0239999294281,0.000999927520752,0.00200009346008,0.992307692308,0.691729323308
RandomForestClassifier,300.0,0.0340001583099,0.0019998550415,0.00100016593933,0.995,0.769230769231
DecisionTreeClassifier,100.0,0.00100016593933,0.000999927520752,0.0,1.0,0.650406504065
DecisionTreeClassifier,200.0,0.0019998550415,0.0,0.00100016593933,1.0,0.727272727273
DecisionTreeClassifier,300.0,0.00200009346008,0.000999927520752,0.0,1.0,0.705882352941
ExtraTreesClassifier,100.0,0.0209999084473,0.00200009346008,0.000999927520752,1.0,0.721804511278
ExtraTreesClassifier,200.0,0.0239999294281,0.00200009346008,0.000999927520752,1.0,0.676923076923
ExtraTreesClassifier,300.0,0.0240001678467,0.0019998550415,0.00100016593933,1.0,0.77037037037
AdaBoostClassifier,100.0,0.0989999771118,0.00699996948242,0.00600004196167,0.977777777778,0.688
AdaBoostClassifier,200.0,0.105000019073,0.00699996948242,0.00600004196167,0.890510948905,0.744525547445
AdaBoostClassifier,300.0,0.110000133514,0.00899982452393,0.00600004196167,0.856470588235,0.732824427481
GradientBoostingClassifier,100.0,0.0780000686646,0.0,0.000999927520752,1.0,0.75
GradientBoostingClassifier,200.0,0.105000019073,0.000999927520752,0.0,0.992366412214,0.736842105263
GradientBoostingClassifier,300.0,0.144000053406,0.0019998550415,0.0,0.978102189781,0.740740740741
