,Trial,Distance,DeadLine,Sucess,Steps,Epsilon,Alpha,Gamma,QTableSize
0,0.0,6.0,30.0,N,31.0,0.0,0.0,0.0,24.0
1,1.0,6.0,30.0,N,31.0,0.0,0.0,0.0,31.0
2,2.0,9.0,45.0,N,46.0,0.0,0.0,0.0,35.0
3,3.0,4.0,20.0,N,21.0,0.0,0.0,0.0,36.0
4,4.0,5.0,25.0,N,26.0,0.0,0.0,0.0,38.0
5,5.0,4.0,20.0,N,21.0,0.0,0.0,0.0,39.0
6,6.0,5.0,25.0,Y,3.0,0.0,0.0,0.0,39.0
7,7.0,4.0,20.0,Y,11.0,0.0,0.0,0.0,40.0
8,8.0,6.0,30.0,N,31.0,0.0,0.0,0.0,41.0
9,9.0,6.0,30.0,N,31.0,0.0,0.0,0.0,42.0
10,10.0,6.0,30.0,N,31.0,0.0,0.0,0.0,46.0
11,11.0,11.0,55.0,N,56.0,0.0,0.0,0.0,50.0
12,12.0,4.0,20.0,N,21.0,0.0,0.0,0.0,50.0
13,13.0,5.0,25.0,N,26.0,0.0,0.0,0.0,51.0
14,14.0,4.0,20.0,N,21.0,0.0,0.0,0.0,52.0
15,15.0,8.0,40.0,Y,31.0,0.0,0.0,0.0,55.0
16,16.0,6.0,30.0,N,31.0,0.0,0.0,0.0,56.0
17,17.0,8.0,40.0,N,41.0,0.0,0.0,0.0,63.0
18,18.0,4.0,20.0,N,21.0,0.0,0.0,0.0,65.0
19,19.0,4.0,20.0,N,21.0,0.0,0.0,0.0,66.0
20,0.0,8.0,40.0,N,41.0,0.0,0.0,0.1,19.0
21,1.0,8.0,40.0,N,41.0,0.0,0.0,0.1,27.0
22,2.0,7.0,35.0,Y,21.0,0.0,0.0,0.1,30.0
23,3.0,6.0,30.0,N,31.0,0.0,0.0,0.1,32.0
24,4.0,4.0,20.0,N,21.0,0.0,0.0,0.1,34.0
25,5.0,8.0,40.0,N,41.0,0.0,0.0,0.1,40.0
26,6.0,5.0,25.0,N,26.0,0.0,0.0,0.1,40.0
27,7.0,4.0,20.0,N,21.0,0.0,0.0,0.1,40.0
28,8.0,5.0,25.0,N,26.0,0.0,0.0,0.1,43.0
29,9.0,7.0,35.0,N,36.0,0.0,0.0,0.1,44.0
30,10.0,4.0,20.0,N,21.0,0.0,0.0,0.1,46.0
31,11.0,4.0,20.0,N,21.0,0.0,0.0,0.1,49.0
32,12.0,5.0,25.0,N,26.0,0.0,0.0,0.1,51.0
33,13.0,7.0,35.0,Y,10.0,0.0,0.0,0.1,53.0
34,14.0,5.0,25.0,N,26.0,0.0,0.0,0.1,55.0
35,15.0,4.0,20.0,N,21.0,0.0,0.0,0.1,57.0
36,16.0,5.0,25.0,Y,8.0,0.0,0.0,0.1,57.0
37,17.0,7.0,35.0,N,36.0,0.0,0.0,0.1,60.0
38,18.0,6.0,30.0,N,31.0,0.0,0.0,0.1,63.0
39,19.0,6.0,30.0,N,31.0,0.0,0.0,0.1,65.0
40,0.0,8.0,40.0,Y,37.0,0.0,0.0,0.2,20.0
41,1.0,5.0,25.0,N,26.0,0.0,0.0,0.2,28.0
42,2.0,6.0,30.0,N,31.0,0.0,0.0,0.2,31.0
43,3.0,8.0,40.0,Y,11.0,0.0,0.0,0.2,33.0
44,4.0,4.0,20.0,N,21.0,0.0,0.0,0.2,39.0
45,5.0,8.0,40.0,N,41.0,0.0,0.0,0.2,43.0
46,6.0,4.0,20.0,N,21.0,0.0,0.0,0.2,46.0
47,7.0,10.0,50.0,Y,30.0,0.0,0.0,0.2,47.0
48,8.0,4.0,20.0,N,21.0,0.0,0.0,0.2,48.0
49,9.0,4.0,20.0,N,21.0,0.0,0.0,0.2,50.0
50,10.0,5.0,25.0,N,26.0,0.0,0.0,0.2,52.0
51,11.0,6.0,30.0,N,31.0,0.0,0.0,0.2,52.0
52,12.0,6.0,30.0,N,31.0,0.0,0.0,0.2,53.0
53,13.0,11.0,55.0,Y,27.0,0.0,0.0,0.2,56.0
54,14.0,6.0,30.0,N,31.0,0.0,0.0,0.2,59.0
55,15.0,8.0,40.0,Y,15.0,0.0,0.0,0.2,60.0
56,16.0,5.0,25.0,N,26.0,0.0,0.0,0.2,62.0
57,17.0,4.0,20.0,Y,7.0,0.0,0.0,0.2,62.0
58,18.0,8.0,40.0,N,41.0,0.0,0.0,0.2,65.0
59,19.0,5.0,25.0,N,26.0,0.0,0.0,0.2,67.0
60,0.0,4.0,20.0,Y,3.0,0.0,0.0,0.3,3.0
61,1.0,4.0,20.0,N,21.0,0.0,0.0,0.3,14.0
62,2.0,6.0,30.0,Y,21.0,0.0,0.0,0.3,22.0
63,3.0,6.0,30.0,N,31.0,0.0,0.0,0.3,27.0
64,4.0,7.0,35.0,Y,13.0,0.0,0.0,0.3,28.0
65,5.0,5.0,25.0,N,26.0,0.0,0.0,0.3,31.0
66,6.0,5.0,25.0,N,26.0,0.0,0.0,0.3,32.0
67,7.0,6.0,30.0,N,31.0,0.0,0.0,0.3,35.0
68,8.0,6.0,30.0,N,31.0,0.0,0.0,0.3,36.0
69,9.0,4.0,20.0,N,21.0,0.0,0.0,0.3,39.0
70,10.0,8.0,40.0,Y,16.0,0.0,0.0,0.3,42.0
71,11.0,9.0,45.0,N,46.0,0.0,0.0,0.3,47.0
72,12.0,6.0,30.0,N,31.0,0.0,0.0,0.3,52.0
73,13.0,4.0,20.0,N,21.0,0.0,0.0,0.3,56.0
74,14.0,5.0,25.0,N,26.0,0.0,0.0,0.3,60.0
75,15.0,9.0,45.0,Y,39.0,0.0,0.0,0.3,61.0
76,16.0,5.0,25.0,N,26.0,0.0,0.0,0.3,61.0
77,17.0,5.0,25.0,N,26.0,0.0,0.0,0.3,62.0
78,18.0,7.0,35.0,N,36.0,0.0,0.0,0.3,63.0
79,19.0,6.0,30.0,N,31.0,0.0,0.0,0.3,64.0
80,0.0,10.0,50.0,N,51.0,0.0,0.0,0.4,23.0
81,1.0,5.0,25.0,Y,1.0,0.0,0.0,0.4,24.0
82,2.0,5.0,25.0,N,26.0,0.0,0.0,0.4,26.0
83,3.0,6.0,30.0,N,31.0,0.0,0.0,0.4,28.0
84,4.0,8.0,40.0,N,41.0,0.0,0.0,0.4,32.0
85,5.0,8.0,40.0,N,41.0,0.0,0.0,0.4,35.0
86,6.0,7.0,35.0,Y,25.0,0.0,0.0,0.4,43.0
87,7.0,7.0,35.0,N,36.0,0.0,0.0,0.4,47.0
88,8.0,5.0,25.0,N,26.0,0.0,0.0,0.4,49.0
89,9.0,5.0,25.0,Y,15.0,0.0,0.0,0.4,53.0
90,10.0,9.0,45.0,N,46.0,0.0,0.0,0.4,56.0
91,11.0,5.0,25.0,N,26.0,0.0,0.0,0.4,59.0
92,12.0,6.0,30.0,Y,29.0,0.0,0.0,0.4,61.0
93,13.0,8.0,40.0,N,41.0,0.0,0.0,0.4,64.0
94,14.0,4.0,20.0,N,21.0,0.0,0.0,0.4,68.0
95,15.0,8.0,40.0,N,41.0,0.0,0.0,0.4,70.0
96,16.0,7.0,35.0,N,36.0,0.0,0.0,0.4,71.0
97,17.0,9.0,45.0,N,46.0,0.0,0.0,0.4,72.0
98,18.0,4.0,20.0,N,21.0,0.0,0.0,0.4,78.0
99,19.0,7.0,35.0,Y,18.0,0.0,0.0,0.4,78.0
100,0.0,7.0,35.0,Y,8.0,0.0,0.0,0.5,6.0
101,1.0,4.0,20.0,N,21.0,0.0,0.0,0.5,21.0
102,2.0,5.0,25.0,N,26.0,0.0,0.0,0.5,26.0
103,3.0,7.0,35.0,N,36.0,0.0,0.0,0.5,34.0
104,4.0,7.0,35.0,N,36.0,0.0,0.0,0.5,36.0
105,5.0,5.0,25.0,N,26.0,0.0,0.0,0.5,38.0
106,6.0,12.0,60.0,Y,40.0,0.0,0.0,0.5,45.0
