,Trial,Distance,DeadLine,Sucess,Steps,Epsilon,Alpha,Gamma,QTableSize
0,0.0,7.0,35.0,Y,24.0,0.1,0.2,0.2,20.0
1,1.0,5.0,25.0,Y,16.0,0.1,0.2,0.2,22.0
2,2.0,6.0,30.0,Y,7.0,0.1,0.2,0.2,23.0
3,3.0,5.0,25.0,Y,7.0,0.1,0.2,0.2,23.0
4,4.0,6.0,30.0,Y,14.0,0.1,0.2,0.2,27.0
5,5.0,12.0,60.0,Y,23.0,0.1,0.2,0.2,28.0
6,6.0,7.0,35.0,Y,14.0,0.1,0.2,0.2,28.0
7,7.0,4.0,20.0,N,21.0,0.1,0.2,0.2,28.0
8,8.0,5.0,25.0,Y,4.0,0.1,0.2,0.2,29.0
9,9.0,7.0,35.0,Y,15.0,0.1,0.2,0.2,30.0
10,10.0,5.0,25.0,Y,12.0,0.1,0.2,0.2,31.0
11,11.0,4.0,20.0,Y,7.0,0.1,0.2,0.2,31.0
12,12.0,5.0,25.0,Y,7.0,0.1,0.2,0.2,31.0
13,13.0,4.0,20.0,Y,5.0,0.1,0.2,0.2,31.0
14,14.0,5.0,25.0,Y,9.0,0.1,0.2,0.2,31.0
15,15.0,8.0,40.0,Y,13.0,0.1,0.2,0.2,31.0
16,16.0,4.0,20.0,Y,9.0,0.1,0.2,0.2,35.0
17,17.0,6.0,30.0,Y,24.0,0.1,0.2,0.2,42.0
18,18.0,6.0,30.0,Y,15.0,0.1,0.2,0.2,43.0
19,19.0,4.0,20.0,Y,14.0,0.1,0.2,0.2,44.0
20,20.0,5.0,25.0,Y,13.0,0.1,0.2,0.2,44.0
21,21.0,6.0,30.0,Y,8.0,0.1,0.2,0.2,44.0
22,22.0,7.0,35.0,Y,24.0,0.1,0.2,0.2,46.0
23,23.0,5.0,25.0,Y,12.0,0.1,0.2,0.2,48.0
24,24.0,8.0,40.0,Y,18.0,0.1,0.2,0.2,48.0
25,25.0,8.0,40.0,Y,14.0,0.1,0.2,0.2,49.0
26,26.0,5.0,25.0,Y,11.0,0.1,0.2,0.2,53.0
27,27.0,8.0,40.0,Y,12.0,0.1,0.2,0.2,53.0
28,28.0,4.0,20.0,Y,7.0,0.1,0.2,0.2,53.0
29,29.0,5.0,25.0,Y,6.0,0.1,0.2,0.2,54.0
30,30.0,4.0,20.0,Y,6.0,0.1,0.2,0.2,54.0
31,31.0,8.0,40.0,Y,19.0,0.1,0.2,0.2,55.0
32,32.0,9.0,45.0,Y,29.0,0.1,0.2,0.2,58.0
