,Trial,Distance,DeadLine,Sucess,Steps,Epsilon,Alpha,Gamma,QTableSize
0,0.0,6.0,30.0,Y,9.0,0.1,0.2,0.2,7.0
1,1.0,8.0,40.0,Y,15.0,0.1,0.2,0.2,14.0
2,2.0,10.0,50.0,Y,12.0,0.1,0.2,0.2,15.0
3,3.0,6.0,30.0,Y,9.0,0.1,0.2,0.2,16.0
4,4.0,6.0,30.0,Y,12.0,0.1,0.2,0.2,18.0
5,5.0,4.0,20.0,Y,5.0,0.1,0.2,0.2,18.0
6,6.0,9.0,45.0,Y,14.0,0.1,0.2,0.2,19.0
7,7.0,7.0,35.0,Y,15.0,0.1,0.2,0.2,22.0
8,8.0,9.0,45.0,Y,9.0,0.1,0.2,0.2,24.0
9,9.0,9.0,45.0,Y,18.0,0.1,0.2,0.2,30.0
10,10.0,5.0,25.0,Y,15.0,0.1,0.2,0.2,32.0
11,11.0,8.0,40.0,Y,22.0,0.1,0.2,0.2,36.0
12,12.0,10.0,50.0,Y,10.0,0.1,0.2,0.2,36.0
13,13.0,9.0,45.0,Y,25.0,0.1,0.2,0.2,40.0
14,14.0,5.0,25.0,Y,11.0,0.1,0.2,0.2,40.0
15,15.0,7.0,35.0,Y,15.0,0.1,0.2,0.2,40.0
16,16.0,7.0,35.0,Y,12.0,0.1,0.2,0.2,41.0
17,17.0,4.0,20.0,Y,3.0,0.1,0.2,0.2,41.0
18,18.0,8.0,40.0,Y,22.0,0.1,0.2,0.2,44.0
19,19.0,5.0,25.0,N,26.0,0.1,0.2,0.2,44.0
20,20.0,7.0,35.0,Y,16.0,0.1,0.2,0.2,45.0
21,21.0,5.0,25.0,N,26.0,0.1,0.2,0.2,49.0
22,22.0,4.0,20.0,N,21.0,0.1,0.2,0.2,51.0
23,23.0,5.0,25.0,N,26.0,0.1,0.2,0.2,58.0
24,24.0,9.0,45.0,Y,15.0,0.1,0.2,0.2,59.0
25,25.0,8.0,40.0,Y,19.0,0.1,0.2,0.2,62.0
26,26.0,5.0,25.0,Y,21.0,0.1,0.2,0.2,68.0
27,27.0,10.0,50.0,Y,27.0,0.1,0.2,0.2,68.0
28,28.0,10.0,50.0,Y,42.0,0.1,0.2,0.2,70.0
29,29.0,5.0,25.0,Y,9.0,0.1,0.2,0.2,70.0
30,30.0,5.0,25.0,Y,10.0,0.1,0.2,0.2,71.0
31,31.0,6.0,30.0,Y,11.0,0.1,0.2,0.2,71.0
32,32.0,11.0,55.0,Y,21.0,0.1,0.2,0.2,71.0
33,33.0,6.0,30.0,Y,21.0,0.1,0.2,0.2,72.0
34,34.0,4.0,20.0,Y,6.0,0.1,0.2,0.2,72.0
35,35.0,7.0,35.0,Y,22.0,0.1,0.2,0.2,74.0
36,36.0,8.0,40.0,Y,21.0,0.1,0.2,0.2,74.0
37,37.0,5.0,25.0,Y,10.0,0.1,0.2,0.2,74.0
38,38.0,5.0,25.0,Y,11.0,0.1,0.2,0.2,74.0
39,39.0,8.0,40.0,Y,19.0,0.1,0.2,0.2,75.0
40,40.0,7.0,35.0,Y,24.0,0.1,0.2,0.2,76.0
41,41.0,7.0,35.0,Y,12.0,0.1,0.2,0.2,76.0
42,42.0,6.0,30.0,Y,10.0,0.1,0.2,0.2,76.0
43,43.0,7.0,35.0,Y,10.0,0.1,0.2,0.2,76.0
44,44.0,7.0,35.0,Y,4.0,0.1,0.2,0.2,77.0
45,45.0,6.0,30.0,Y,15.0,0.1,0.2,0.2,77.0
46,46.0,5.0,25.0,Y,12.0,0.1,0.2,0.2,79.0
47,47.0,5.0,25.0,Y,9.0,0.1,0.2,0.2,80.0
48,48.0,5.0,25.0,Y,10.0,0.1,0.2,0.2,80.0
49,49.0,4.0,20.0,Y,7.0,0.1,0.2,0.2,80.0
50,50.0,6.0,30.0,Y,6.0,0.1,0.2,0.2,80.0
51,51.0,6.0,30.0,Y,12.0,0.1,0.2,0.2,80.0
52,52.0,11.0,55.0,N,56.0,0.1,0.2,0.2,87.0
53,53.0,5.0,25.0,Y,6.0,0.1,0.2,0.2,89.0
54,54.0,10.0,50.0,Y,12.0,0.1,0.2,0.2,89.0
55,55.0,4.0,20.0,Y,10.0,0.1,0.2,0.2,90.0
56,56.0,5.0,25.0,Y,7.0,0.1,0.2,0.2,90.0
57,57.0,6.0,30.0,Y,9.0,0.1,0.2,0.2,90.0
58,58.0,5.0,25.0,Y,13.0,0.1,0.2,0.2,92.0
