,Trial,Distance,DeadLine,Sucess,Steps,Epsilon,Alpha,Gamma,QTableSize
0,0.0,5.0,25.0,N,26.0,0.0,0.0,0.0,15.0
1,1.0,5.0,25.0,N,26.0,0.0,0.0,0.0,21.0
2,2.0,8.0,40.0,N,41.0,0.0,0.0,0.0,27.0
3,3.0,5.0,25.0,N,26.0,0.0,0.0,0.0,27.0
4,4.0,7.0,35.0,N,36.0,0.0,0.0,0.0,28.0
5,5.0,4.0,20.0,N,21.0,0.0,0.0,0.0,32.0
6,6.0,5.0,25.0,N,26.0,0.0,0.0,0.0,34.0
7,7.0,6.0,30.0,Y,15.0,0.0,0.0,0.0,34.0
8,8.0,8.0,40.0,N,41.0,0.0,0.0,0.0,34.0
9,9.0,4.0,20.0,N,21.0,0.0,0.0,0.0,35.0
10,0.0,9.0,45.0,N,46.0,0.0,0.0,0.2,24.0
11,1.0,4.0,20.0,N,21.0,0.0,0.0,0.2,26.0
12,2.0,6.0,30.0,Y,9.0,0.0,0.0,0.2,28.0
13,3.0,4.0,20.0,N,21.0,0.0,0.0,0.2,29.0
14,4.0,6.0,30.0,Y,27.0,0.0,0.0,0.2,29.0
15,5.0,5.0,25.0,N,26.0,0.0,0.0,0.2,33.0
16,6.0,10.0,50.0,N,51.0,0.0,0.0,0.2,37.0
17,7.0,4.0,20.0,N,21.0,0.0,0.0,0.2,37.0
18,8.0,6.0,30.0,N,31.0,0.0,0.0,0.2,38.0
19,9.0,7.0,35.0,N,36.0,0.0,0.0,0.2,39.0
20,0.0,7.0,35.0,N,36.0,0.0,0.0,0.4,23.0
21,1.0,5.0,25.0,N,26.0,0.0,0.0,0.4,30.0
22,2.0,4.0,20.0,N,21.0,0.0,0.0,0.4,30.0
23,3.0,5.0,25.0,N,26.0,0.0,0.0,0.4,32.0
24,4.0,7.0,35.0,Y,27.0,0.0,0.0,0.4,32.0
25,5.0,5.0,25.0,N,26.0,0.0,0.0,0.4,32.0
26,6.0,10.0,50.0,N,51.0,0.0,0.0,0.4,36.0
27,7.0,5.0,25.0,N,26.0,0.0,0.0,0.4,38.0
28,8.0,4.0,20.0,Y,5.0,0.0,0.0,0.4,38.0
