,State (light / oncoming / right / left),action,reward
0,"('red', None, None, None, 'forward')",right,-0.0701593146953
1,"('green', 'right', None, None, 'left')",forward,-0.0124416849032
2,"('red', None, None, None, 'left')",,0.0
3,"('red', None, None, 'right', 'right')",left,-0.2
4,"('green', None, None, 'forward', 'forward')",right,-0.141701217639
5,"('green', 'right', None, None, 'forward')",left,-0.2
6,"('red', None, 'forward', None, 'forward')",forward,-0.2
7,"('red', None, None, None, 'left')",right,-0.148422932333
8,"('red', None, 'left', None, 'forward')",,0.0
9,"('red', 'right', None, None, 'forward')",left,-0.2
10,"('green', None, 'forward', None, 'left')",right,-0.1
11,"('red', 'forward', None, None, 'forward')",right,-0.0343760577705
12,"('green', None, None, None, 'left')",forward,-0.244
13,"('red', 'left', None, None, 'right')",right,-0.2
14,"('red', None, None, 'right', 'right')",forward,-0.2
15,"('red', 'forward', None, None, 'right')",right,1.38825790564
16,"('green', None, None, None, 'forward')",forward,3.10615078975
17,"('green', 'forward', None, None, 'left')",right,-0.1
18,"('red', None, None, 'left', 'left')",left,-0.2
19,"('red', None, None, None, 'right')",forward,-0.409505190028
20,"('green', None, 'forward', None, 'forward')",right,0.0373284003282
21,"('green', None, 'forward', None, 'right')",forward,-0.00530000390563
22,"('red', None, None, 'right', 'forward')",left,-0.36
23,"('red', 'left', None, None, 'forward')",,0.0
24,"('green', 'left', None, 'forward', 'forward')",right,-0.0985790149855
25,"('red', 'right', None, None, 'left')",forward,-0.2
26,"('red', None, None, 'left', 'forward')",right,-0.0791160515596
27,"('red', 'forward', None, None, 'forward')",forward,-0.36
28,"('green', None, None, 'forward', 'forward')",left,-0.1
29,"('green', None, 'forward', None, 'left')",forward,-0.00406323160599
30,"('green', None, 'left', None, 'forward')",forward,2.11787298333
31,"('green', None, 'right', None, 'forward')",right,-0.0553779963742
32,"('red', None, None, None, 'left')",forward,-0.67232
33,"('green', 'right', None, None, 'right')",,0.0
34,"('green', 'right', None, None, 'forward')",,0.0
35,"('red', 'left', None, None, 'left')",right,-0.2
36,"('green', 'left', None, None, 'right')",left,-0.00669243080929
37,"('green', 'forward', None, None, 'forward')",,0.0
38,"('red', 'forward', None, None, 'right')",,0.0
39,"('green', 'forward', None, 'left', 'forward')",right,-0.1
40,"('red', None, None, 'left', 'right')",right,0.894610624371
41,"('red', None, 'right', None, 'right')",forward,-0.2
42,"('green', None, 'right', None, 'forward')",forward,3.57946971874
43,"('red', None, None, None, 'left')",left,-0.488
44,"('green', None, None, None, 'right')",,0.108214296506
45,"('red', 'left', None, None, 'right')",forward,-0.2
46,"('green', None, None, 'right', 'forward')",,0.0
47,"('red', 'left', None, None, 'forward')",right,-0.2
48,"('green', None, None, 'left', 'forward')",right,-0.0121780967846
49,"('green', None, 'right', None, 'right')",forward,-0.1
50,"('red', None, None, 'right', 'forward')",forward,-0.2
51,"('red', None, 'left', None, 'left')",right,-0.048401683968
52,"('green', 'forward', None, None, 'right')",,0.0
53,"('green', 'right', None, 'forward', 'forward')",right,-0.1
54,"('red', None, 'forward', None, 'right')",right,0.497476006892
55,"('green', 'left', None, None, 'right')",forward,-0.1
56,"('red', 'right', None, None, 'forward')",,0.0
57,"('green', None, None, None, 'left')",,0.25089751891
58,"('red', None, None, 'left', 'left')",forward,-0.2
59,"('red', None, 'left', None, 'forward')",left,-0.2
60,"('green', None, None, 'left', 'right')",,0.0
61,"('red', 'forward', None, None, 'forward')",left,-0.2
62,"('green', 'forward', 'left', None, 'right')",,0.0
63,"('green', 'left', None, None, 'forward')",forward,2.19622145096
64,"('red', None, None, 'forward', 'forward')",,0.0
65,"('red', None, None, 'right', 'forward')",right,-0.0628423061331
66,"('green', 'left', None, None, 'forward')",left,-0.0283875405435
67,"('green', None, None, 'forward', 'forward')",,0.0
68,"('red', 'left', None, None, 'forward')",forward,-0.2
69,"('red', 'left', None, None, 'right')",,0.0
70,"('red', 'left', None, None, 'forward')",left,-0.2
71,"('green', 'right', None, None, 'left')",right,-0.0976318873118
72,"('green', None, None, 'forward', 'right')",right,1.21377711918
73,"('green', None, None, None, 'right')",right,2.49260210112
74,"('green', None, None, 'left', 'right')",right,0.498592180694
75,"('red', None, 'left', 'forward', 'forward')",,0.0
76,"('red', None, None, 'left', 'forward')",,0.0
77,"('red', None, 'right', None, 'forward')",,0.0
78,"('green', 'left', None, None, 'right')",right,1.35748993631
79,"('red', None, 'left', None, 'forward')",forward,-0.2
80,"('green', 'right', None, None, 'forward')",right,-0.1
81,"('green', None, 'left', None, 'right')",right,0.499873571811
82,"('green', 'forward', None, None, 'forward')",left,-0.2
83,"('green', None, None, None, 'right')",left,-0.048683287167
84,"('red', None, None, None, 'forward')",,0.0
85,"('red', None, 'forward', None, 'forward')",,0.0
86,"('green', None, None, None, 'left')",left,2.28195527182
87,"('green', 'left', None, None, 'forward')",right,-0.18
88,"('red', None, None, 'forward', 'forward')",left,-0.2
89,"('green', 'left', None, 'forward', 'forward')",left,-0.1
90,"('red', 'forward', None, None, 'forward')",,0.0
91,"('red', None, None, None, 'right')",left,-0.247997341244
92,"('green', None, None, None, 'forward')",,0.673802641064
93,"('red', None, None, None, 'right')",right,2.39346051733
94,"('green', None, None, 'right', 'forward')",left,-0.1
95,"('red', None, None, 'forward', 'left')",forward,-0.2
96,"('green', 'right', None, None, 'forward')",forward,0.72
97,"('green', 'forward', None, None, 'left')",forward,0.00369190549481
